zmu;Available_Power;n_charging_stations;index_zmu;POP_TOT_ZMU;comune;nome_comun;quartiere;pgtu;municipio
1001236;[7, 'not available'];3.0;0.0;33;58091;Roma;Castel Porziano;5;9.0
1002016;;;1.0;2184;58091;Roma;Prima Porta;5;15.0
1001941;[43, 50];3.0;2.0;4901;58091;Roma;La Storta;5;14.0
1000456;;;3.0;71;58091;Roma;Marcigliana;5;3.0
1001141;;;4.0;3019;58091;Roma;Ostiense;2;8.0
1001963;;;5.0;1959;58091;Roma;Casalotti;5;14.0
1001914;;;6.0;692;58091;Roma;Tomba di Nerone;4;14.0
1000827;;;7.0;622;58091;Roma;San Vittorino;5;6.0
1002040;;;8.0;3978;58091;Roma;Prima Porta;5;15.0
1000832;;;9.0;445;58091;Roma;Torre Gaia;5;6.0
1058119;['not available', 50, 43, 22];5.0;10.0;15746;58119;San cesareo;;7;
1001319;;;11.0;114;58091;Roma;Castel Fusano;6;10.0
1001620;;;12.0;201;58091;Roma;Castel di Guido;5;12.0
1001124;;;13.0;291;58091;Roma;Appio-Pignatelli;3;8.0
1001839;;;14.0;522;58091;Roma;Castel di Guido;5;13.0
1002059;;;15.0;124;58091;Roma;Isola Farnese;5;15.0
1000625;;;16.0;1756;58091;Roma;Prenestino-Labicano;3;5.0
1000630;;;17.0;505;58091;Roma;Prenestino-Labicano;3;5.0
1001418;[200, 300];3.0;18.0;2669;58120;Fiumicino;;7;
1000272;;;19.0;1192;58091;Roma;Trieste;2;2.0
1000440;;;20.0;1535;58091;Roma;Monte Sacro Alto;4;3.0
1001964;;;21.0;265;58091;Roma;Santa Maria di Galeria;5;14.0
1058047;[50, 43, 22, 12, 7.2];11.0;22.0;87039;58047;Guidonia montecel;;7;
1002039;;;23.0;806;58091;Roma;La Storta;5;15.0
1000194;[3];2.0;24.0;64;58091;Roma;Trevi;1;1.0
1001631;;;25.0;2091;58091;Roma;Castel di Guido;5;12.0
1001855;;;26.0;507;58091;Roma;Aurelio;3;13.0
1000173;;;27.0;400;58091;Roma;Ludovisi;1;1.0
1002023;;;28.0;69;58091;Roma;Cesano;5;15.0
1001917;;;29.0;4146;58091;Roma;Trionfale;4;14.0
1058072;['not available'];1.0;30.0;47754;58072;Nettuno;;7;
1001944;;;31.0;362;58091;Roma;Santa Maria di Galeria;5;14.0
1058114;;;32.0;17912;58114;Zagarolo;;7;
1002018;;;33.0;4749;58091;Roma;Prima Porta;5;15.0
1002009;[3];1.0;34.0;80;58091;Roma;Tomba di Nerone;4;15.0
1002024;;;35.0;7657;58091;Roma;Cesano;5;15.0
1001322;;;36.0;143;58091;Roma;Castel Porziano;5;10.0
1001955;;;37.0;1548;58091;Roma;La Storta;5;14.0
1002046;;;38.0;233;58091;Roma;Cesano;5;15.0
1058129;;;39.0;3422;58039;FRASCATI;;7;
1002043;;;40.0;12;58091;Roma;Prima Porta;5;15.0
1002042;;;41.0;379;58091;Roma;Prima Porta;5;15.0
1058018;[22, 64, 300];5.0;42.0;10644;58018;Capena;;7;
1001611;;;43.0;676;58091;Roma;La Pisana;4;12.0
1000154;[22, 3];2.0;44.0;840;58091;Roma;S.Eustachio;1;1.0
1058009;;;45.0;18187;58009;Ariccia;;7;
1058005;;;46.0;19112;58005;Anguillara sabazi;;7;
1058003;;;47.0;39611;58003;Albano laziale;;7;
1002061;[22];5.0;48.0;1984;58091;Roma;Cesano;5;15.0
1058004;;;49.0;3879;58004;Allumiere;;7;
1058081;;;50.0;10393;58081;Riano;;7;
1058011;;;51.0;13762;58011;Artena;;7;
1058013;[50, 22, 150];4.0;52.0;18890;58013;Bracciano;;7;
1058015;[3.7, 22, 300.0, 20, 50];7.0;53.0;11215;58015;Campagnano di rom;;7;
1058023;;;54.0;7156;58023;Castel madama;;7;
1058024;;;55.0;8281;58024;Castelnuovo di po;;7;
1058029;[11];1.0;56.0;37244;58029;Cerveteri;;7;
1058032;[43, 50, 22, 3.7];16.0;57.0;51690;58032;Civitavecchia;;7;
1058040;[300, 22, 64, 43];8.0;58.0;6248;58040;Gallicano nel laz;;7;
1058043;[3.7, 22];2.0;59.0;23123;58043;Genzano di roma;;7;
1000213;;;60.0;544;58091;Roma;Trieste;2;2.0
1058058;;;61.0;2995;58058;Mazzano romano;;7;
1058057;[43, 50];3.0;62.0;21594;58057;MARINO;;7;
1058060;;;63.0;11802;58060;Montecompatri;;7;
1058068;;;64.0;8286;58068;Morlupo;;7;
1058075;;;65.0;12688;58075;Palombara sabina;;7;
1000613;;;66.0;5249;58091;Roma;Collatino;3;5.0
1058082;;;67.0;10099;58082;Rignano flaminio;;7;
1000811;;;68.0;603;58091;Roma;Acqua Vergine;5;6.0
1058074;;;69.0;21995;58074;Palestrina;;7;
1058112;[22];1.0;70.0;3734;58112;Vicovaro;;7;
1058099;;;71.0;3576;58099;Sant'oreste;;7;
1058103;[22, 5];2.0;72.0;8699;58103;Subiaco;;7;
1058097;[2, 20];4.0;73.0;18174;58097;Santa marinella;;7;
1058110;[350, 50, 43];5.0;74.0;15206;58110;Valmontone;;7;
1058102;;;75.0;9139;58102;Segni;;7;
1058104;[22, 7.4, 'not available', 3.7];7.0;76.0;54366;58104;Tivoli;;7;
1058117;[22];1.0;77.0;48715;58117;Ardea;;7;
1000553;;;78.0;5578;58091;Roma;Settecamini;5;4.0
1058130;;;79.0;3135;58046;GROTTAFERRATA;;7;
1058105;[64, 300, 22];5.0;80.0;4954;58105;Tolfa;;7;
1001235;;;81.0;1156;58091;Roma;Castel di Leva;5;9.0
1058111;[22, 3.7];2.0;82.0;52937;58111;Velletri;;7;
1001127;[50, 43];3.0;83.0;609;58091;Roma;Torricola;3;8.0
1000261;[22, 3.7];3.0;84.0;4695;58091;Roma;Trieste;2;2.0
1000259;;;85.0;892;58091;Roma;Trieste;2;2.0
1002010;;;86.0;787;58091;Roma;Grottarossa;4;15.0
1000824;;;87.0;6082;58091;Roma;Borghesiana;5;6.0
1000140;;;88.0;377;58091;Roma;Trevi;1;1.0
1000335;[3];2.0;89.0;287;58091;Roma;Nomentano;2;2.0
1001943;;;90.0;879;58091;Roma;La Storta;5;14.0
1000227;;;91.0;421;58091;Roma;Flaminio;2;2.0
1000188;;;92.0;430;58091;Roma;Ludovisi;1;1.0
1058122;[20, 22];2.0;93.0;31441;58122;Fonte Nuova;;7;
1002015;;;94.0;5525;58091;Roma;La Storta;5;15.0
1001924;;;95.0;357;58091;Roma;Santa Maria di Galeria;5;14.0
1058096;;;96.0;2788;58096;San polo dei cava;;7;
1000189;[3.7, 22];2.0;97.0;1534;58091;Roma;Sallustiano;1;1.0
1000252;;;98.0;2880;58091;Roma;Trieste;2;2.0
1000171;;;99.0;146;58091;Roma;Monti;1;1.0
1000326;[3];2.0;100.0;2427;58091;Roma;Nomentano;2;2.0
1000457;;;101.0;102;58091;Roma;Marcigliana;5;3.0
1000431;;;102.0;552;58091;Roma;Tor San Giovanni;5;3.0
1000445;[50, 43];3.0;103.0;3;58091;Roma;Castel Giubileo;4;3.0
1000470;;;104.0;2500;58091;Roma;Monte Sacro;3;3.0
1000329;;;105.0;32;58091;Roma;Nomentano;2;2.0
1000518;;;106.0;0;58091;Roma;Pietralata;3;4.0
1000640;;;107.0;1002;58091;Roma;Prenestino-Labicano;3;5.0
1000930;;;108.0;2537;58091;Roma;Appio-Latino;2;7.0
1002038;;;109.0;6123;58091;Roma;Isola Farnese;5;15.0
1000316;;;110.0;784;58091;Roma;Nomentano;2;2.0
1000924;;;111.0;4715;58091;Roma;Tuscolano;3;7.0
1000554;;;112.0;2366;58091;Roma;Pietralata;3;4.0
1000614;;;113.0;1552;58091;Roma;Prenestino-Labicano;3;5.0
1002041;;;114.0;469;58091;Roma;Labaro;5;15.0
1002072;;;115.0;457;58091;Roma;La Storta;5;15.0
1000826;;;116.0;13503;58091;Roma;Lunghezza;5;6.0
1000849;;;117.0;6247;58091;Roma;Lunghezza;5;6.0
1000950;;;118.0;2234;58091;Roma;Appio-Latino;2;7.0
1002068;;;119.0;1658;58091;Roma;La Giustiniana;5;15.0
1000852;;;120.0;1046;58091;Roma;Torre Angela;5;6.0
1000920;;;121.0;1947;58091;Roma;Tuscolano;2;7.0
1000942;;;122.0;4995;58091;Roma;Appio-Latino;3;7.0
1001946;;;123.0;2353;58091;Roma;Della Vittoria;4;14.0
1058050;;;124.0;13219;58050;Lanuvio;;7;
1000322;;;125.0;2566;58091;Roma;Tiburtino;2;2.0
1000945;;;126.0;1346;58091;Roma;Appio-Latino;2;7.0
1001250;;;127.0;6345;58091;Roma;Castel di Decima;5;9.0
1000561;;;128.0;3011;58091;Roma;Settecamini;5;4.0
1001386;;;129.0;1332;58091;Roma;Castel Fusano;6;10.0
1000566;;;130.0;0;58091;Roma;Settecamini;5;4.0
1002025;;;131.0;53;58091;Roma;Polline Martignano;5;15.0
1000472;;;132.0;3125;58091;Roma;Monte Sacro;3;3.0
1001844;;;133.0;1453;58091;Roma;Primavalle;3;13.0
1000624;;;134.0;2933;58091;Roma;Collatino;3;5.0
1001102;[7.4];1.0;135.0;0;58091;Roma;Ostiense;3;8.0
1001534;;;136.0;2975;58091;Roma;Portuense;4;11.0
1000488;;;137.0;1163;58091;Roma;Monte Sacro;3;3.0
1000911;;;138.0;367;58091;Roma;Tuscolano;3;7.0
1001101;;;139.0;1666;58091;Roma;Ostiense;2;8.0
1001261;;;140.0;1480;58091;Roma;Torrino;4;9.0
1000904;;;141.0;1348;58091;Roma;Prenestino-Labicano;2;7.0
1000505;;;142.0;1094;58091;Roma;Pietralata;3;4.0
1001956;;;143.0;1898;58091;Roma;Santa Maria di Galeria;5;14.0
1000314;;;144.0;622;58091;Roma;Nomentano;2;2.0
1001247;;;145.0;1481;58091;Roma;Castel di Leva;5;9.0
1000644;;;146.0;472;58091;Roma;Prenestino-Labicano;3;5.0
1001251;;;147.0;1553;58091;Roma;Castel di Leva;5;9.0
1001543;;;148.0;157;58091;Roma;Ponte Galeria;5;11.0
1000192;;;149.0;51;58091;Roma;Ripa;1;1.0
1001260;;;150.0;1616;58091;Roma;Castel di Leva;5;9.0
1000319;;;151.0;1370;58091;Roma;Nomentano;2;2.0
1000187;[22, 3];8.0;152.0;256;58091;Roma;Trevi;1;1.0
1001726;[3];2.0;153.0;886;58091;Roma;Prati;2;1.0
1000842;;;154.0;6371;58091;Roma;Borghesiana;5;6.0
1000434;;;155.0;2342;58091;Roma;Val Melaina;4;3.0
1001735;;;156.0;513;58091;Roma;Della Vittoria;2;1.0
1001541;;;157.0;1026;58091;Roma;Portuense;4;11.0
1000478;;;158.0;1880;58091;Roma;Val Melaina;4;3.0
1001230;;;159.0;904;58091;Roma;Castel di Leva;5;9.0
1001821;;;160.0;1061;58091;Roma;Aurelio;3;13.0
1001814;;;161.0;1073;58091;Roma;Castel di Guido;5;13.0
1000722;;;163.0;3071;58091;Roma;Alessandrino;4;5.0
1001739;;;164.0;545;58091;Roma;Della Vittoria;2;1.0
1001959;;;165.0;723;58091;Roma;Casalotti;5;14.0
1001737;;;166.0;1136;58091;Roma;Della Vittoria;2;1.0
1000422;[22, 3.7];2.0;167.0;3438;58091;Roma;Monte Sacro;3;3.0
1001940;;;168.0;1407;58091;Roma;Trionfale;3;14.0
1001537;;;169.0;7609;58091;Roma;Ponte Galeria;5;11.0
1000162;;;170.0;1;58091;Roma;Ripa;1;1.0
1001397;;;171.0;1470;58091;Roma;Acilia Sud;6;10.0
1002047;;;172.0;524;58091;Roma;Cesano;5;15.0
1000731;;;173.0;1025;58091;Roma;Alessandrino;4;5.0
1000184;;;174.0;502;58091;Roma;Campo Marzio;1;1.0
1001858;[3];2.0;175.0;2246;58091;Roma;Aurelio;3;13.0
1001728;;;176.0;0;58091;Roma;Della Vittoria;2;1.0
1000813;;;177.0;6298;58091;Roma;Lunghezza;5;6.0
1001923;;;178.0;966;58091;Roma;La Storta;5;14.0
1000641;;;179.0;2630;58091;Roma;Prenestino-Labicano;3;5.0
1001320;;;180.0;13;58091;Roma;Lido di Castel Fusano;6;10.0
1058079;[22, 3.7, 'not available', 43, 11];54.0;181.0;61346;58079;Pomezia;;7;
1000858;;;182.0;9191;58091;Roma;Lunghezza;5;6.0
1001741;;;183.0;1;58091;Roma;Della Vittoria;2;1.0
1000101;;;184.0;803;58091;Roma;Ponte;1;1.0
1000417;;;185.0;1867;58091;Roma;Casal Boccone;4;3.0
1001407;[22, 3.7];4.0;186.0;8340;58120;Fiumicino;;7;
1002017;;;187.0;911;58091;Roma;La Giustiniana;5;15.0
1001361;;;188.0;2922;58091;Roma;Acilia Nord;6;10.0
1001408;;;189.0;1493;58120;Fiumicino;;7;
1001927;;;190.0;828;58091;Roma;Della Vittoria;4;14.0
1001268;;;191.0;1493;58091;Roma;Castel di Leva;5;9.0
1000141;[3];2.0;192.0;225;58091;Roma;Colonna;1;1.0
1001823;;;193.0;2324;58091;Roma;Trionfale;4;13.0
1001309;;;194.0;72;58091;Roma;Ostia Antica;6;10.0
1001957;;;195.0;813;58091;Roma;Della Vittoria;4;14.0
1001004;[3];2.0;196.0;0;58091;Roma;Don Bosco;3;7.0
1001618;;;197.0;11876;58091;Roma;Castel di Guido;5;12.0
1001633;;;198.0;70;58091;Roma;Castel di Guido;5;12.0
1001950;;;199.0;6865;58091;Roma;Primavalle;4;14.0
1001742;;;200.0;1004;58091;Roma;Della Vittoria;2;1.0
1001364;;;201.0;2175;58091;Roma;Acilia Sud;6;10.0
1000166;;;202.0;4;58091;Roma;San Saba;1;1.0
1001529;[22];1.0;203.0;7039;58091;Roma;Portuense;3;11.0
1000181;;;204.0;443;58091;Roma;Trevi;1;1.0
1001628;;;205.0;2576;58091;Roma;Gianicolense;4;12.0
1001126;;;206.0;491;58091;Roma;Torricola;3;8.0
1001505;[22];1.0;207.0;4884;58091;Roma;Portuense;3;11.0
1000816;;;208.0;7014;58091;Roma;Torre Angela;5;6.0
1001840;;;209.0;192;58091;Roma;Casalotti;5;13.0
1000204;;;210.0;1289;58091;Roma;Pinciano;2;2.0
1000915;;;211.0;771;58091;Roma;Appio-Latino;2;7.0
1000312;;;212.0;512;58091;Roma;Tiburtino;2;2.0
1001507;;;213.0;5816;58091;Roma;Portuense;3;11.0
1001615;[3];2.0;214.0;3513;58091;Roma;Gianicolense;2;12.0
1000933;;;215.0;1808;58091;Roma;Appio-Latino;2;7.0
1000321;;;216.0;751;58091;Roma;Tiburtino;2;2.0
1000485;[22, 3.7];2.0;217.0;4519;58091;Roma;Monte Sacro;3;3.0
1000495;;;218.0;10;58091;Roma;Monte Sacro;3;3.0
1000559;;;219.0;580;58091;Roma;Ponte Mammolo;3;4.0
1000607;;;220.0;622;58091;Roma;Tuscolano;3;5.0
1000603;[43, 50];3.0;221.0;6398;58091;Roma;Prenestino-Labicano;3;5.0
1000845;;;222.0;3072;58091;Roma;Torre Spaccata;4;6.0
1000215;[3.7, 22];2.0;223.0;1223;58091;Roma;Trieste;2;2.0
1001018;;;224.0;4151;58091;Roma;Don Bosco;4;7.0
1001604;;;225.0;3864;58091;Roma;Gianicolense;3;12.0
1000715;[22];1.0;226.0;411;58091;Roma;Torre Spaccata;4;5.0
1001733;;;227.0;0;58091;Roma;Della Vittoria;2;1.0
1000922;[22];1.0;228.0;2221;58091;Roma;Tuscolano;2;7.0
1001052;;;229.0;593;58091;Roma;Appio-Pignatelli;3;7.0
1001210;;;230.0;2211;58091;Roma;Giuliano-Dalmata;4;9.0
1002021;;;231.0;490;58091;Roma;Prima Porta;5;15.0
1001828;;;232.0;908;58091;Roma;Castel di Guido;5;13.0
1001616;;;233.0;4015;58091;Roma;Gianicolense;2;12.0
1000859;;;234.0;907;58091;Roma;Torre Angela;5;6.0
1000454;;;235.0;238;58091;Roma;Marcigliana;5;3.0
1001711;;;236.0;223;58091;Roma;Della Vittoria;2;1.0
1001712;[22];1.0;237.0;3552;58091;Roma;Trionfale;2;1.0
1001743;;;238.0;415;58091;Roma;Della Vittoria;2;1.0
1000182;;;239.0;208;58091;Roma;Campo Marzio;1;1.0
1001716;['not available'];1.0;240.0;2457;58091;Roma;Prati;2;1.0
1001718;;;241.0;132;58091;Roma;Della Vittoria;2;1.0
1001729;;;242.0;522;58091;Roma;Della Vittoria;2;1.0
1001731;;;243.0;2615;58091;Roma;Trionfale;2;1.0
1001722;;;244.0;829;58091;Roma;Della Vittoria;2;1.0
1001723;;;245.0;2570;58091;Roma;Trionfale;2;1.0
1001730;[22];1.0;246.0;163;58091;Roma;Della Vittoria;2;1.0
1001734;;;247.0;31;58091;Roma;Della Vittoria;2;1.0
1000917;;;248.0;2280;58091;Roma;Appio-Latino;2;7.0
1000328;;;249.0;54;58091;Roma;Nomentano;2;2.0
1000331;;;250.0;87;58091;Roma;Nomentano;2;2.0
1000428;[43, 50, 44, 22];5.0;251.0;5080;58091;Roma;Marcigliana;5;3.0
1000475;;;252.0;21;58091;Roma;Castel Giubileo;4;3.0
1000225;;;253.0;1405;58091;Roma;Parioli;2;2.0
1000151;;;254.0;32;58091;Roma;Campitelli;1;1.0
1000236;;;255.0;896;58091;Roma;Trieste;2;2.0
1001536;;;256.0;3219;58091;Roma;Gianicolense;4;11.0
1000311;;;257.0;35;58091;Roma;Nomentano;2;2.0
1001904;;;258.0;1917;58091;Roma;Della Vittoria;4;14.0
1000432;;;259.0;379;58091;Roma;Marcigliana;5;3.0
1001509;;;260.0;1567;58091;Roma;Portuense;3;11.0
1001804;;;261.0;2536;58091;Roma;Aurelio;3;13.0
1000437;[43, 50];3.0;262.0;2061;58091;Roma;Monte Sacro Alto;4;3.0
1001540;;;263.0;10817;58091;Roma;Portuense;3;11.0
1002069;;;264.0;384;58091;Roma;Cesano;5;15.0
1001801;[3];2.0;265.0;3927;58091;Roma;Aurelio;2;13.0
1000102;[3, 22];4.0;266.0;420;58091;Roma;S.Eustachio;1;1.0
1001802;;;267.0;232;58091;Roma;Aurelio;4;13.0
1001803;[6.6];1.0;268.0;3536;58091;Roma;Aurelio;2;13.0
1001717;;;269.0;1409;58091;Roma;Della Vittoria;2;1.0
1000732;;;270.0;1024;58091;Roma;Torre Spaccata;4;5.0
1001409;;;271.0;3689;58120;Fiumicino;;7;
1000620;;;272.0;2250;58091;Roma;Tuscolano;3;5.0
1000701;[11];1.0;273.0;1839;58091;Roma;Collatino;3;5.0
1000902;[50, 43];3.0;274.0;1394;58091;Roma;Tuscolano;2;7.0
1000558;;;275.0;3108;58091;Roma;Ponte Mammolo;4;4.0
1001958;;;277.0;5233;58091;Roma;Della Vittoria;4;14.0
1000709;;;278.0;1839;58091;Roma;Alessandrino;4;5.0
1000734;;;279.0;3100;58091;Roma;Tor Sapienza;4;5.0
1000247;[3.7, 22];2.0;280.0;1811;58091;Roma;Trieste;2;2.0
1001049;[50, 22];3.0;281.0;2916;58091;Roma;Casal Morena;5;7.0
1000716;;;282.0;69;58091;Roma;Torre Spaccata;4;5.0
1000939;;;283.0;2030;58091;Roma;Tuscolano;2;7.0
1001053;;;284.0;3458;58091;Roma;Torre Maura;4;7.0
1000846;;;285.0;2012;58091;Roma;Torre Maura;4;6.0
1001706;;;286.0;0;58091;Roma;Della Vittoria;2;1.0
1001411;[22, 3.7];2.0;287.0;1230;58120;Fiumicino;;7;
1001120;;;288.0;2802;58091;Roma;Ardeatino;4;8.0
1001965;[10];1.0;289.0;483;58091;Roma;Casalotti;5;14.0
1000835;;;290.0;1154;58091;Roma;Lunghezza;5;6.0
1001701;;;291.0;2330;58091;Roma;Borgo;2;1.0
1001213;;;292.0;1174;58091;Roma;Torrino;4;9.0
1001242;;;293.0;558;58091;Roma;Torrino;4;9.0
1001511;;;294.0;1226;58091;Roma;Portuense;4;11.0
1001806;;;295.0;3035;58091;Roma;Primavalle;3;13.0
1001367;;;296.0;925;58091;Roma;Ostia Antica;6;10.0
1001812;;;297.0;1912;58091;Roma;Aurelio;3;13.0
1002054;;;298.0;2452;58091;Roma;Tor di Quinto;3;15.0
1001805;;;299.0;1112;58091;Roma;Aurelio;3;13.0
1001808;;;300.0;1970;58091;Roma;Trionfale;4;13.0
1001539;;;301.0;524;58091;Roma;Portuense;3;11.0
1001807;[22];1.0;302.0;2283;58091;Roma;Aurelio;4;13.0
1001817;;;303.0;669;58091;Roma;Aurelio;4;13.0
1001809;;;304.0;2325;58091;Roma;Trionfale;4;13.0
1001816;[3.6];1.0;305.0;2643;58091;Roma;Aurelio;2;13.0
1001810;;;306.0;1862;58091;Roma;Aurelio;4;13.0
1001811;;;307.0;3358;58091;Roma;Aurelio;3;13.0
1000265;;;308.0;1015;58091;Roma;Parioli;2;2.0
1001506;;;309.0;3567;58091;Roma;Portuense;3;11.0
1002076;;;310.0;2894;58091;Roma;Tomba di Nerone;4;15.0
1001105;[50, 43];3.0;311.0;3346;58091;Roma;Ostiense;3;8.0
1000273;;;312.0;981;58091;Roma;Parioli;2;2.0
1001949;;;313.0;1606;58091;Roma;Primavalle;4;14.0
1001398;;;314.0;5834;58091;Roma;Casal Palocco;6;10.0
1001838;;;315.0;4476;58091;Roma;Aurelio;3;13.0
1001819;;;316.0;1071;58091;Roma;Aurelio;3;13.0
1001521;;;317.0;3380;58091;Roma;Gianicolense;4;11.0
1001813;;;318.0;4270;58091;Roma;Casalotti;5;13.0
1001967;;;319.0;133;58091;Roma;Casalotti;5;14.0
1001826;;;320.0;1625;58091;Roma;Aurelio;3;13.0
1001410;[3.7, 22];4.0;321.0;6575;58120;Fiumicino;;7;
1001393;;;322.0;1924;58091;Roma;Castel Fusano;6;10.0
1001824;;;323.0;3590;58091;Roma;Aurelio;4;13.0
1001825;[22, 250];2.0;324.0;3836;58091;Roma;Aurelio;3;13.0
1001727;;;325.0;1413;58091;Roma;Della Vittoria;2;1.0
1001822;;;326.0;1903;58091;Roma;Trionfale;4;13.0
1001834;;;327.0;3913;58091;Roma;Primavalle;3;13.0
1001525;;;328.0;6625;58091;Roma;Portuense;3;11.0
1001708;[3];2.0;329.0;4684;58091;Roma;Della Vittoria;2;1.0
1001841;;;330.0;4418;58091;Roma;Aurelio;3;13.0
1001827;;;331.0;13428;58091;Roma;Casalotti;5;13.0
1001919;;;332.0;2190;58091;Roma;Della Vittoria;4;14.0
1001830;;;333.0;3221;58091;Roma;Aurelio;2;13.0
