zmu;Available_Power;n_charging_stations;index_zmu;POP_TOT_ZMU;comune;nome_comun;quartiere;pgtu;municipio
1001831;;;334.0;2449;58091;Roma;Aurelio;3;13.0
1000248;;;335.0;744;58091;Roma;Pinciano;2;2.0
1000834;;;336.0;259;58091;Roma;Lunghezza;5;6.0
1001835;;;337.0;2799;58091;Roma;Aurelio;3;13.0
1001836;;;338.0;3241;58091;Roma;Primavalle;4;13.0
1001856;[3];2.0;339.0;2289;58091;Roma;Primavalle;3;13.0
1001833;;;340.0;1103;58091;Roma;Aurelio;4;13.0
1001301;;;341.0;230;58091;Roma;Acilia Sud;6;10.0
1001849;;;342.0;1462;58091;Roma;Aurelio;3;13.0
1001837;;;343.0;4671;58091;Roma;Aurelio;4;13.0
1001842;;;344.0;2378;58091;Roma;Aurelio;3;13.0
1001846;;;345.0;2472;58091;Roma;Aurelio;3;13.0
1000921;;;346.0;1797;58091;Roma;Tuscolano;2;7.0
1001843;;;347.0;818;58091;Roma;Aurelio;3;13.0
1001850;;;348.0;367;58091;Roma;Aurelio;4;13.0
1001845;;;349.0;6536;58091;Roma;Aurelio;4;13.0
1001848;;;350.0;790;58091;Roma;Aurelio;3;13.0
1001851;;;351.0;2988;58091;Roma;Primavalle;3;13.0
1001852;;;352.0;1005;58091;Roma;Aurelio;4;13.0
1001854;;;353.0;2797;58091;Roma;Castel di Guido;5;13.0
1001857;;;354.0;263;58091;Roma;Casalotti;5;13.0
1000195;;;355.0;225;58091;Roma;Trevi;1;1.0
1000159;;;356.0;241;58091;Roma;Trevi;1;1.0
1000125;;;357.0;521;58091;Roma;Castro Pretorio;1;1.0
1001901;;;358.0;8216;58091;Roma;Trionfale;3;14.0
1001908;;;359.0;4324;58091;Roma;Primavalle;4;14.0
1001902;[22];1.0;360.0;269;58091;Roma;Trionfale;3;14.0
1001903;;;361.0;1797;58091;Roma;Trionfale;3;14.0
1001906;[7.4];1.0;362.0;4659;58091;Roma;Trionfale;3;14.0
1001907;;;363.0;2453;58091;Roma;Trionfale;3;14.0
1001912;;;364.0;824;58091;Roma;Primavalle;4;14.0
1001929;;;365.0;5429;58091;Roma;Trionfale;3;14.0
1001909;;;366.0;4900;58091;Roma;Primavalle;4;14.0
1000253;[3, 22];2.0;367.0;2478;58091;Roma;Trieste;2;2.0
1001910;;;368.0;3362;58091;Roma;Primavalle;4;14.0
1000425;;;369.0;4452;58091;Roma;Monte Sacro;4;3.0
1000309;[22];1.0;370.0;4419;58091;Roma;Tiburtino;2;2.0
1001911;;;371.0;5651;58091;Roma;Primavalle;4;14.0
1001913;;;372.0;1877;58091;Roma;Trionfale;4;14.0
1000615;;;373.0;316;58091;Roma;Tiburtino;3;5.0
1001916;;;374.0;2916;58091;Roma;Trionfale;4;14.0
1001925;[7];1.0;375.0;2147;58091;Roma;Trionfale;3;14.0
1001918;;;376.0;6911;58091;Roma;Ottavia;4;14.0
1001395;;;377.0;1257;58091;Roma;Acilia Nord;6;10.0
1001920;;;378.0;2675;58091;Roma;Trionfale;3;14.0
1001921;;;379.0;887;58091;Roma;La Storta;5;14.0
1001705;;;380.0;1575;58091;Roma;Della Vittoria;2;1.0
1000274;[22, 3];2.0;381.0;2320;58091;Roma;Trieste;2;2.0
1001526;;;382.0;3263;58091;Roma;Portuense;3;11.0
1001926;;;383.0;4501;58091;Roma;Trionfale;3;14.0
1001922;;;384.0;1491;58091;Roma;Casalotti;5;14.0
1001928;;;385.0;10;58091;Roma;Trionfale;3;14.0
1001930;;;386.0;3482;58091;Roma;Primavalle;4;14.0
1001931;;;387.0;2909;58091;Roma;Primavalle;4;14.0
1000230;;;388.0;1412;58091;Roma;Salario;2;2.0
1001932;;;389.0;4373;58091;Roma;Primavalle;4;14.0
1000178;;;390.0;91;58091;Roma;Celio;1;1.0
1002004;;;391.0;537;58091;Roma;Della Vittoria;4;15.0
1001933;;;392.0;6838;58091;Roma;Primavalle;4;14.0
1001936;;;393.0;1351;58091;Roma;Tomba di Nerone;4;14.0
1000104;;;394.0;3670;58091;Roma;Ponte;1;1.0
1000234;;;395.0;2144;58091;Roma;Trieste;2;2.0
1001934;;;396.0;5455;58091;Roma;Primavalle;4;14.0
1001527;;;397.0;3564;58091;Roma;Portuense;3;11.0
1001937;;;398.0;3615;58091;Roma;Trionfale;4;14.0
1001935;;;399.0;8087;58091;Roma;Ottavia;4;14.0
1001945;;;400.0;1796;58091;Roma;Trionfale;3;14.0
1001612;[22, 50];4.0;401.0;15111;58091;Roma;Gianicolense;2;12.0
1002050;;;402.0;1594;58091;Roma;Tor di Quinto;3;15.0
1001947;;;403.0;1282;58091;Roma;Primavalle;4;14.0
1001948;;;404.0;5043;58091;Roma;Primavalle;4;14.0
1000235;[3.7, 22];2.0;405.0;1416;58091;Roma;Trieste;2;2.0
1001938;[50, 43];3.0;406.0;7763;58091;Roma;Ottavia;4;14.0
1002067;;;407.0;10;58091;Roma;Tor di Quinto;4;15.0
1001942;;;408.0;4954;58091;Roma;Casalotti;5;14.0
1058067;;;409.0;2468;58067;Moricone;;7;
1002008;;;410.0;134;58091;Roma;Tor di Quinto;3;15.0
1001042;;;411.0;3712;58091;Roma;Torre Maura;4;7.0
1002002;;;412.0;1571;58091;Roma;Tor di Quinto;3;15.0
1001952;;;413.0;117;58091;Roma;Della Vittoria;4;14.0
1002001;;;414.0;10;58091;Roma;Tor di Quinto;3;15.0
1001820;;;415.0;1612;58091;Roma;Primavalle;3;13.0
1002003;;;416.0;9655;58091;Roma;Della Vittoria;4;15.0
1002011;[3];2.0;417.0;600;58091;Roma;Grottarossa;4;15.0
1000277;;;418.0;2749;58091;Roma;Trieste;2;2.0
1001951;;;419.0;4078;58091;Roma;Tomba di Nerone;4;14.0
1001953;;;420.0;210;58091;Roma;Trionfale;3;14.0
1000908;;;421.0;536;58091;Roma;Appio-Latino;3;7.0
1001954;;;422.0;7415;58091;Roma;Casalotti;5;14.0
1001960;;;423.0;506;58091;Roma;Santa Maria di Galeria;5;14.0
1001961;;;424.0;961;58091;Roma;Casalotti;5;14.0
1001040;;;425.0;3301;58091;Roma;Tuscolano;3;7.0
1002006;;;426.0;1338;58091;Roma;Della Vittoria;4;15.0
1002007;;;427.0;1317;58091;Roma;Tor di Quinto;3;15.0
1002005;;;428.0;1398;58091;Roma;Tomba di Nerone;4;15.0
1000323;;;429.0;15;58091;Roma;Nomentano;2;2.0
1002012;[300];1.0;430.0;710;58091;Roma;Grottarossa;4;15.0
1000281;;;431.0;1127;58091;Roma;Trieste;2;2.0
1001624;;;432.0;162;58091;Roma;Gianicolense;3;12.0
1000955;;;433.0;2554;58091;Roma;Tuscolano;3;7.0
1002013;;;434.0;2011;58091;Roma;La Giustiniana;5;15.0
1001530;;;435.0;1006;58091;Roma;Portuense;3;11.0
1000639;;;436.0;1724;58091;Roma;Prenestino-Labicano;3;5.0
1002014;;;437.0;2448;58091;Roma;La Storta;5;15.0
1000449;;;438.0;2391;58091;Roma;Monte Sacro;3;3.0
1002019;;;439.0;218;58091;Roma;Prima Porta;5;15.0
1000270;;;440.0;1402;58091;Roma;Trieste;2;2.0
1002020;;;441.0;529;58091;Roma;Prima Porta;5;15.0
1002064;;;442.0;771;58091;Roma;Tor di Quinto;3;15.0
1002027;;;443.0;52;58091;Roma;Tor di Quinto;3;15.0
1002028;;;444.0;3890;58091;Roma;Tor di Quinto;3;15.0
1002030;;;445.0;1943;58091;Roma;Tomba di Nerone;4;15.0
1002031;;;446.0;6440;58091;Roma;Della Vittoria;3;15.0
1002029;;;447.0;2539;58091;Roma;Tomba di Nerone;4;15.0
1001374;;;448.0;1025;58091;Roma;Acilia Sud;6;10.0
1002032;[3.7, 22];2.0;449.0;3106;58091;Roma;Tor di Quinto;3;15.0
1000903;;;450.0;975;58091;Roma;Tuscolano;2;7.0
1002033;;;451.0;150;58091;Roma;Tor di Quinto;4;15.0
1002056;;;452.0;2;58091;Roma;Grottarossa;4;15.0
1002036;;;453.0;0;58091;Roma;Grottarossa;4;15.0
1000174;;;454.0;25;58091;Roma;Sallustiano;1;1.0
1002034;;;455.0;322;58091;Roma;Grottarossa;4;15.0
1002035;[22];1.0;456.0;535;58091;Roma;Grottarossa;4;15.0
1001528;;;457.0;5063;58091;Roma;Portuense;3;11.0
1000408;;;458.0;96;58091;Roma;Monte Sacro Alto;4;3.0
1002044;;;459.0;3;58091;Roma;Prima Porta;5;15.0
1002051;;;460.0;3487;58091;Roma;Tomba di Nerone;4;15.0
1002049;;;461.0;301;58091;Roma;Tor di Quinto;3;15.0
1002045;;;462.0;677;58091;Roma;Labaro;5;15.0
1000196;;;463.0;731;58091;Roma;Ponte;1;1.0
1002048;;;464.0;362;58091;Roma;Della Vittoria;3;15.0
1000186;[3];2.0;465.0;505;58091;Roma;Castro Pretorio;1;1.0
1002053;;;466.0;2155;58091;Roma;Della Vittoria;3;15.0
1002057;;;467.0;1086;58091;Roma;La Giustiniana;5;15.0
1002052;;;468.0;5863;58091;Roma;Tomba di Nerone;4;15.0
1002073;[350, 80, 11];3.0;469.0;1748;58091;Roma;Tor di Quinto;3;15.0
1002063;;;470.0;1177;58091;Roma;Della Vittoria;3;15.0
1000278;;;471.0;1121;58091;Roma;Trieste;2;2.0
1002078;;;472.0;733;58091;Roma;Tor di Quinto;4;15.0
1002055;;;473.0;155;58091;Roma;Tor di Quinto;4;15.0
1002065;;;474.0;5839;58091;Roma;Tomba di Nerone;4;15.0
1002070;;;475.0;3174;58091;Roma;Tor di Quinto;3;15.0
1000325;;;476.0;1838;58091;Roma;Nomentano;2;2.0
1002058;;;477.0;5636;58091;Roma;La Storta;5;15.0
1002077;;;478.0;64;58091;Roma;La Giustiniana;5;15.0
1001394;;;479.0;4119;58091;Roma;Castel Fusano;6;10.0
1058002;;;480.0;1717;58002;Agosta;;7;
1002060;;;481.0;4910;58091;Roma;Prima Porta;5;15.0
1058027;;;482.0;1075;58027;Cerreto laziale;;7;
1002062;;;483.0;258;58091;Roma;Cesano;5;15.0
1000107;[3];2.0;484.0;410;58091;Roma;Trevi;1;1.0
1002071;;;485.0;4776;58091;Roma;Tomba di Nerone;4;15.0
1002074;;;486.0;3290;58091;Roma;Tor di Quinto;4;15.0
1001413;[43, 50, 3.7, 22];13.0;487.0;14701;58120;Fiumicino;;7;
1058001;;;488.0;1464;58001;Affile;;7;
1002075;;;489.0;1891;58091;Roma;La Giustiniana;5;15.0
1000156;;;490.0;166;58091;Roma;Ponte;1;1.0
1058059;[3.7, 22, 150];5.0;491.0;23309;58059;Mentana;;7;
1001621;;;492.0;61;58091;Roma;Gianicolense;2;12.0
1058017;;;493.0;340;58017;Canterano;;7;
1058006;;;494.0;841;58006;Anticoli corrado;;7;
1058007;[3, 22, 50, 43, 'not available'];13.0;495.0;52335;58007;Anzio;;7;
1058021;;;496.0;668;58021;Casape;;7;
1001962;;;497.0;270;58091;Roma;Santa Maria di Galeria;5;14.0
1058008;;;498.0;1277;58008;Arcinazzo romano;;7;
1001636;[22, 3.7];2.0;499.0;2215;58091;Roma;Portuense;2;12.0
1058062;;;500.0;2072;58062;Montelanico;;7;
1000507;;;501.0;874;58091;Roma;Pietralata;3;4.0
1058012;[22];1.0;502.0;2768;58012;Bellegra;;7;
1000480;;;503.0;2703;58091;Roma;Monte Sacro Alto;4;3.0
1058016;[22];1.0;504.0;4130;58016;Canale monterano;;7;
1058127;;;505.0;12378;58118;Ciampino;;7;
1058019;;;506.0;315;58019;Capranica prenest;;7;
1000481;;;507.0;2040;58091;Roma;Monte Sacro Alto;3;3.0
1058026;[22];3.0;508.0;10693;58026;Cave;;7;
1001623;['not available'];2.0;509.0;5757;58091;Roma;Gianicolense;3;12.0
1058030;;;510.0;1258;58030;Ciciliano;;7;
1058025;[15, 20, 3.7];3.0;511.0;845;58025;Castel san pietro;;7;
1000172;;;512.0;152;58091;Roma;Trevi;1;1.0
1058028;;;513.0;440;58028;Cervara di roma;;7;
1058037;;;514.0;424;58037;Filacciano;;7;
1058034;[22, 43, 50];11.0;515.0;20924;58034;Colleferro;;7;
1000906;;;516.0;837;58091;Roma;Tuscolano;3;7.0
1058031;;;517.0;575;58031;Cineto romano;;7;
1058035;;;518.0;4206;58035;Colonna;;7;
1058038;;;519.0;13048;58038;Formello;;7;
1058063;[3.7, 22];4.0;520.0;5171;58063;Montelibretti;;7;
1058033;;;521.0;1968;58033;Civitella san pao;;7;
1000907;;;522.0;556;58091;Roma;Tuscolano;3;7.0
1000263;;;523.0;553;58091;Roma;Parioli;2;2.0
1058036;[3.7, 22, 350, 150, 50, 43];22.0;524.0;15424;58036;Fiano romano;;7;
1000438;;;525.0;348;58091;Roma;Monte Sacro Alto;4;3.0
1058039;;;526.0;13770;58039;FRASCATI;;7;
1058044;;;527.0;1207;58044;Gerano;;7;
1058041;;;528.0;1884;58041;Gavignano;;7;
1058046;;;529.0;3148;58046;GROTTAFERRATA;;7;
1058042;[22];1.0;530.0;5716;58042;Genazzano;;7;
1058045;;;531.0;695;58045;Gorga;;7;
1000473;;;532.0;895;58091;Roma;Monte Sacro;4;3.0
1058049;[22];2.0;533.0;6371;58049;Labico;;7;
1000932;[3.7, 22];2.0;534.0;1892;58091;Roma;Appio-Latino;2;7.0
1000492;;;535.0;763;58091;Roma;Monte Sacro;3;3.0
1058051;;;536.0;896;58051;Licenza;;7;
1000282;;;537.0;1598;58091;Roma;Trieste;2;2.0
1000127;;;538.0;5503;58091;Roma;Esquilino;1;1.0
1058052;;;539.0;1455;58052;Magliano romano;;7;
1000631;;;540.0;1345;58091;Roma;Tuscolano;3;5.0
1001713;;;541.0;2150;58091;Roma;Trionfale;2;1.0
1058053;;;542.0;888;58053;Mandela;;7;
1058055;;;543.0;772;58055;Marano equo;;7;
1000232;;;544.0;1388;58091;Roma;Pinciano;2;2.0
1058054;;;545.0;7695;58054;Manziana;;7;
1001017;;;546.0;1664;58091;Roma;Torre Maura;4;7.0
1058056;;;547.0;7014;58056;Marcellina;;7;
1058061;;;548.0;1232;58061;Monteflavio;;7;
1000161;;;549.0;0;58091;Roma;Campo Marzio;1;1.0
1000133;;;550.0;1201;58091;Roma;Monti;1;1.0
1058064;;;551.0;8523;58064;Monte porzio cato;;7;
1058069;[22, 3];2.0;552.0;1333;58069;Nazzano;;7;
1058065;[22];2.0;553.0;40898;58065;Monterotondo;;7;
1058066;;;554.0;2005;58066;Montorio romano;;7;
1001131;;;555.0;1766;58091;Roma;Ostiense;2;8.0
1000400;;;556.0;1956;58091;Roma;Monte Sacro;3;3.0
1058070;[22, 3.7];4.0;557.0;1862;58070;Nemi;;7;
1058071;;;558.0;1911;58071;Nerola;;7;
1058073;;;559.0;6537;58073;Olevano romano;;7;
1058084;;;560.0;182;58084;Rocca canterano;;7;
1058076;;;561.0;212;58076;Percile;;7;
1058080;;;562.0;1119;58080;Ponzano romano;;7;
1000251;;;563.0;2174;58091;Roma;Trieste;2;2.0
1058077;;;564.0;728;58077;Pisoniano;;7;
1058090;;;565.0;671;58090;Roiate;;7;
1058078;;;566.0;2281;58078;Poli;;7;
1058085;;;567.0;354;58085;Rocca di cave;;7;
1058089;;;568.0;941;58089;Rocca santo stefa;;7;
1058086;;;569.0;16947;58086;Rocca di papa;;7;
1000643;;;570.0;825;58091;Roma;Prenestino-Labicano;3;5.0
1058088;;;571.0;11861;58088;Rocca priora;;7;
1000124;;;572.0;2800;58091;Roma;Testaccio;1;1.0
1058092;;;573.0;1299;58092;Roviano;;7;
1058094;;;574.0;861;58094;Sambuci;;7;
1000423;;;575.0;2693;58091;Roma;Monte Sacro;3;3.0
1058108;;;576.0;256;58108;Vallepietra;;7;
1000937;;;577.0;627;58091;Roma;Tuscolano;2;7.0
1058095;;;578.0;1457;58095;San gregorio da s;;7;
1058098;;;579.0;4818;58098;Sant'angelo roman;;7;
1000487;;;580.0;24;58091;Roma;Val Melaina;4;3.0
1058100;;;581.0;3218;58100;San vito romano;;7;
1000948;;;582.0;2779;58091;Roma;Tuscolano;2;7.0
1000242;;;583.0;1976;58091;Roma;Parioli;2;2.0
1058101;;;584.0;168;58101;Saracinesco;;7;
1058106;;;585.0;1052;58106;Torrita tiberina;;7;
1001622;;;586.0;26;58091;Roma;Gianicolense;4;12.0
1000190;;;587.0;1196;58091;Roma;Castro Pretorio;1;1.0
1058128;[44, 22];6.0;588.0;5010;58039;FRASCATI;;7;
1001370;;;589.0;1716;58091;Roma;Lido di Ostia Levante;6;10.0
1001531;;;590.0;679;58091;Roma;Portuense;4;11.0
1000128;[22];1.0;591.0;3204;58091;Roma;Esquilino;1;1.0
1000632;;;592.0;5377;58091;Roma;Tuscolano;3;5.0
1058107;[3.7, 22];8.0;593.0;5641;58107;Trevignano romano;;7;
1000410;[3.7, 22, 3];4.0;594.0;2802;58091;Roma;Monte Sacro Alto;4;3.0
1058109;;;595.0;288;58109;Vallinfreda;;7;
1058132;;;596.0;261;58046;GROTTAFERRATA;;7;
1058113;;;597.0;156;58113;Vivaro romano;;7;
1001638;;;598.0;1572;58091;Roma;Gianicolense;3;12.0
1000207;;;599.0;1022;58091;Roma;Flaminio;2;2.0
1058115;;;600.0;13336;58115;Lariano;;7;
1000705;;;601.0;12444;58091;Roma;Prenestino-Centocelle;3;5.0
1058116;[22, 100, 50, 43];10.0;602.0;39584;58116;Ladispoli;;7;
1058118;[44, 22, 50];4.0;603.0;1871;58118;Ciampino;;7;
1058125;[22];1.0;604.0;12749;58118;Ciampino;;7;
1000157;;;605.0;713;58091;Roma;Pigna;1;1.0
1058123;;;606.0;8704;58118;Ciampino;;7;
1001008;[50, 43];3.0;607.0;6124;58091;Roma;Appio Claudio;3;7.0
1058124;;;608.0;2546;58118;Ciampino;;7;
1058131;;;609.0;13521;58046;GROTTAFERRATA;;7;
1000201;;;610.0;457;58091;Roma;Parioli;2;2.0
1000114;;;611.0;246;58091;Roma;Campo Marzio;1;1.0
1001519;;;612.0;6003;58091;Roma;Gianicolense;4;11.0
1000602;;;613.0;4948;58091;Roma;Prenestino-Labicano;3;5.0
1058133;;;614.0;6392;58057;MARINO;;7;
1000229;;;615.0;509;58091;Roma;Pinciano;2;2.0
1058134;;;616.0;16756;58057;MARINO;;7;
1000170;;;617.0;19;58091;Roma;Monti;1;1.0
1000645;;;618.0;2142;58091;Roma;Prenestino-Labicano;3;5.0
1000228;;;619.0;1315;58091;Roma;Flaminio;2;2.0
1001048;;;620.0;5943;58091;Roma;Torre Maura;4;7.0
1000249;;;621.0;1594;58091;Roma;Trieste;2;2.0
1000209;;;622.0;207;58091;Roma;Pinciano;2;2.0
1001133;;;623.0;3191;58091;Roma;Ostiense;3;8.0
1001031;;;624.0;4883;58091;Roma;Appio Claudio;3;7.0
1000137;;;625.0;1926;58091;Roma;Esquilino;1;1.0
1000555;;;626.0;4396;58091;Roma;San Basilio;4;4.0
1001375;;;627.0;1757;58091;Roma;Casal Palocco;6;10.0
1001339;;;628.0;7010;58091;Roma;Lido di Ostia Levante;6;10.0
1001001;;;629.0;7013;58091;Roma;Don Bosco;4;7.0
1001905;;;630.0;475;58091;Roma;Trionfale;3;14.0
1001853;;;631.0;447;58091;Roma;Aurelio;3;13.0
1001214;;;632.0;2044;58091;Roma;Torrino;4;9.0
1000642;;;633.0;5883;58091;Roma;Prenestino-Labicano;3;5.0
1000925;;;634.0;4813;58091;Roma;Tuscolano;3;7.0
1001366;;;635.0;28;58091;Roma;Casal Palocco;6;10.0
1000927;;;636.0;3240;58091;Roma;Appio-Latino;3;7.0
1000160;[3];2.0;637.0;277;58091;Roma;Colonna;1;1.0
1001720;[3];1.0;638.0;2046;58091;Roma;Della Vittoria;2;1.0
1001547;;;639.0;1423;58091;Roma;Portuense;4;11.0
1001363;['not available'];1.0;640.0;2263;58091;Roma;Acilia Sud;6;10.0
1002026;;;641.0;1;58091;Roma;Della Vittoria;3;15.0
1000536;;;642.0;3201;58091;Roma;Pietralata;3;4.0
1000617;;;643.0;1545;58091;Roma;Prenestino-Labicano;3;5.0
1000301;;;644.0;3907;58091;Roma;Nomentano;2;2.0
1000202;[3, 22, 3.7];4.0;645.0;286;58091;Roma;Pinciano;2;2.0
1000241;;;646.0;2397;58091;Roma;Pinciano;2;2.0
1000606;;;647.0;2302;58091;Roma;Tuscolano;3;5.0
1000912;[22];1.0;648.0;4837;58091;Roma;Appio-Latino;2;7.0
1000569;;;649.0;1305;58091;Roma;Settecamini;5;4.0
1058083;;;650.0;732;58083;Riofreddo;;7;
1001019;;;651.0;387;58091;Roma;Torre Maura;4;7.0
1001047;;;652.0;1840;58091;Roma;Appio-Pignatelli;3;7.0
1001324;;;653.0;833;58091;Roma;Acilia Nord;6;10.0
1000264;;;654.0;1509;58091;Roma;Salario;2;2.0
1001966;;;655.0;3194;58091;Roma;Casalotti;5;14.0
1000913;;;656.0;2910;58091;Roma;Appio-Latino;2;7.0
1000521;[50, 20, 43];4.0;657.0;1440;58091;Roma;Pietralata;3;4.0
1001355;;;658.0;14208;58091;Roma;Lido di Ostia Ponente;6;10.0
1000484;;;659.0;2004;58091;Roma;Monte Sacro;3;3.0
1000220;;;660.0;350;58091;Roma;Pinciano;2;2.0
1058087;;;661.0;255;58087;Roccagiovine;;7;
1000611;;;662.0;7738;58091;Roma;Collatino;3;5.0
1058022;['not available'];1.0;663.0;8722;58022;Castel gandolfo;;7;
1058014;;;664.0;418;58014;Camerata nuova;;7;
1058093;;;665.0;7401;58093;Sacrofano;;7;
1000308;;;666.0;1024;58091;Roma;Tiburtino;2;2.0
1058020;;;667.0;4226;58020;Carpineto romano;;7;
1000130;;;668.0;2833;58091;Roma;Esquilino;1;1.0
1000262;[43, 50];3.0;669.0;1077;58091;Roma;Trieste;2;2.0
1000231;[22, 3.7];4.0;670.0;1625;58091;Roma;Trieste;2;2.0
1000112;;;671.0;16;58091;Roma;Campitelli;1;1.0
1001532;;;672.0;1630;58091;Roma;Portuense;3;11.0
1000327;;;673.0;1390;58091;Roma;Nomentano;2;2.0
1001267;;;674.0;11;58091;Roma;Torrino;4;9.0
1000240;;;675.0;31;58091;Roma;Parioli;2;2.0
1000258;[3.7, 22];3.0;676.0;2242;58091;Roma;Parioli;2;2.0
